column,missing_count,missing_pct
weapon_desc,58464,94.14
weapon_used_cd,58464,94.14
cross_street,55014,88.58
vict_age,30096,48.46
mocodes,19105,30.76
premis_desc,22,0.04
premis_cd,6,0.01
occ_month,0,0.0
occ_year,0,0.0
occ_minute,0,0.0
occ_hour,0,0.0
lon,0,0.0
lat,0,0.0
status,0,0.0
location,0,0.0
crm_cd_1,0,0.0
status_desc,0,0.0
occ_day_of_week,0,0.0
dr_no,0,0.0
date_rptd,0,0.0
vict_descent,0,0.0
vict_sex,0,0.0
crm_cd_desc,0,0.0
crm_cd,0,0.0
part_1_2,0,0.0
rpt_dist_no,0,0.0
area_name,0,0.0
area,0,0.0
time_occ,0,0.0
date_occ,0,0.0
report_delay_days,0,0.0
